ID,Class,category,x1,x2
PTC1092,10,Polyamides,23.432573,0.3342469
PTC1926,5,Polyhalo-olefins,6.4702916,9.574037
PTC0517,14,Polyanhydrides,4.572912,5.897802
PTC1064,9,Polyesters,-4.2420645,3.610014
PTC0539,9,Polyesters,9.445043,12.577721
PTC1772,2,Polystyrenes,6.638237,9.723063
PTC4345,10,Polyamides,-5.8520365,-4.273955
PTC2876,10,Polyamides,0.5773283,9.049008
PTC1298,10,Polyamides,6.219148,13.056488
PTC3101,11,Polyurethanes,6.6794796,16.080936
PTC1811,3,Polyvinyls,4.721551,10.334643
PTC1443,11,Polyurethanes,8.807691,11.4919815
PTC0655,11,Polyurethanes,13.491542,16.372007
PTC0115,9,Polyesters,5.722081,11.027118
PTC2744,9,Polyesters,7.8839855,-8.55779
PTC3840,17,Polyketones,7.2339544,6.5910926
PTC3509,16,Polyimines,7.74873,6.2625628
PTC4163,7,Polyethers,13.855502,0.93509585
PTC3057,10,Polyamides,7.1123376,10.884523
PTC1095,10,Polyamides,23.478552,0.37295344
PTC3693,18,Polysulfones,5.336083,10.052949
PTC4123,18,Polysulfones,6.3793263,6.164939
PTC2279,7,Polyethers,5.6045256,8.227365
PTC0103,9,Polyesters,-5.6295567,0.92639583
PTC0300,3,Polyvinyls,4.2694407,10.77959
PTC1227,10,Polyamides,11.146527,-9.709452
PTC2980,10,Polyamides,5.8151245,14.105621
PTC1215,10,Polyamides,23.03019,0.92263347
PTC1666,16,Polyimines,0.5945214,9.072069
PTC0709,8,Polysulfides,4.90616,10.544777
PTC1815,3,Polyvinyls,6.565055,9.717854
PTC2828,9,Polyesters,11.611153,7.1663194
PTC3711,19,Polyphenylenes,7.510981,6.0611663
PTC1558,13,Polyimides,-2.3903177,2.0599797
PTC1719,18,Polysulfones,6.4093747,9.822275
PTC1096,10,Polyamides,23.373768,0.25624415
PTC1011,9,Polyesters,7.522599,13.192359
PTC4233,19,Polyphenylenes,7.140615,6.0053115
PTC2396,9,Polyesters,-0.6200537,13.005263
PTC1072,9,Polyesters,9.338176,12.9812155
PTC4442,9,Polyesters,11.620496,8.708292
PTC2128,7,Polyethers,-4.7732544,0.8795044
PTC3068,10,Polyamides,7.080827,10.808824
PTC2722,9,Polyesters,-6.7454753,10.766562
PTC4431,9,Polyesters,-4.7641788,-0.6603539
PTC1782,2,Polystyrenes,1.2520856,13.182933
PTC0491,10,Polyamides,22.768755,13.495926
PTC0729,14,Polyanhydrides,3.2086177,20.776215
PTC2762,9,Polyesters,13.273442,22.782614
PTC0989,9,Polyesters,-6.096671,20.057644
PTC0562,7,Polyethers,5.650194,11.512538
PTC0081,15,Polycarbonates,5.544652,10.97918
PTC2951,11,Polyurethanes,1.2893744,-7.0546384
PTC1595,14,Polyanhydrides,2.8536599,21.045948
PTC0028,9,Polyesters,-5.643663,0.9281993
PTC2000,10,Polyamides,13.197851,8.421591
PTC1112,10,Polyamides,4.487064,17.116138
